127.0.0.1 - - [25/Aug/2022:09:52:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:52:32 +0530] "GET /springmvc/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:52:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:52:38 +0530] "GET /springmvc/contact HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:53:09 +0530] "GET /springmvc/contact HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:53:35 +0530] "GET /springmvc/contact HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:55:17 +0530] "GET /springmvc/contact HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:57:16 +0530] "GET /springmvc/contact? HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:57:18 +0530] "GET /springmvc/contact? HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [25/Aug/2022:09:57:21 +0530] "GET /springmvc/contact HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:33:54 +0530] "GET /springmvc/contact HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:34:02 +0530] "POST /processForm HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:34:43 +0530] "POST /processForm HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:34:48 +0530] "GET /springmvc/contact HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:34:58 +0530] "POST /processform HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:36:10 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:36:15 +0530] "POST /springmvc/processform HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:22 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:25 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:35 +0530] "POST /springmvc/processform HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:45:02 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:45:11 +0530] "POST /springmvc/processform HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:59:39 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:59:46 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:00:02 +0530] "POST /springmvc/processform HTTP/1.1" 500 5150
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:00:34 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:00:42 +0530] "POST /springmvc/processform HTTP/1.1" 500 5149
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:01:25 +0530] "POST /springmvc/processform HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:05:48 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:05:58 +0530] "POST /springmvc/processform HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:06:43 +0530] "POST /springmvc/processform HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:06:47 +0530] "GET /springmvc/contact HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:06:53 +0530] "POST /springmvc/processform HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:06:53 +0530] "POST /springmvc/processform HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:25 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:29 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:30 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:31 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:31 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:31 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:31 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:32 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:32 +0530] "GET /springmvc/contact HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:11:46 +0530] "GET /springmvc/contact HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:18:05 +0530] "GET /springmvc/contact HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:18:36 +0530] "GET /springmvc/contact HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:46:32 +0530] "GET /springmvc/contact HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [25/Aug/2022:11:46:41 +0530] "POST /springmvc/processform HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [25/Aug/2022:12:21:57 +0530] "GET /springmvc/contact HTTP/1.1" 500 10128
